DailyTimeSpentonSite,Age,AreaIncome,DailyInternetUsage,Male,Clicked,AdTopicLine,City,Country,Timestamp
78.74,28,64828,204.79,1,0,Public-key foreground groupware,Port Danielleberg,Monaco,5/27/2016 15:25
48.53,28,38067.08,134.14,1,1,Ameliorated client-driven forecast,West Jeremyside,Tuvalu,2/8/2016 10:46
51.95,52,58295.82,129.23,0,1,Monitored systematic hierarchy,South Cathyfurt,Greece,7/19/2016 8:32
70.2,34,32708.94,119.2,0,1,Open-architected impactful productivity,Palmerside,British Virgin Islands,4/14/2016 5:08
76.02,22,46179.97,209.82,0,0,Business-focused value-added definition,West Guybury,Bouvet Island (Bouvetoya),1/27/2016 12:38
67.64,35,51473.28,267.01,1,0,Programmable asymmetric data-warehouse,Phelpschester,Peru,7/2/2016 20:23
86.41,28,45593.93,207.48,1,0,Digitized static capability,Lake Melindamouth,Aruba,3/1/2016 22:13
59.05,57,25583.29,169.23,1,1,Digitized global capability,North Richardburgh,Maldives,7/15/2016 5:05
55.6,23,30227.98,212.58,0,1,Multi-layered 4thgeneration knowledge user,Port Cassie,Senegal,1/14/2016 14:00
57.64,57,45580.92,133.81,1,1,Synchronized dedicated service-desk,New Thomas,Dominica,3/15/2016 3:12
84.37,30,61389.5,201.58,0,0,Synchronized systemic hierarchy,Johnstad,Luxembourg,4/12/2016 3:26
62.26,53,56770.79,125.45,1,1,Profound stable product,West Aprilport,Montenegro,4/7/2016 15:18
65.82,39,76435.3,221.94,0,0,Reactive demand-driven capacity,Kellytown,Ukraine,2/9/2016 5:28
50.43,46,57425.87,119.32,1,1,Persevering needs-based open architecture,Charlesport,Saint Helena,5/7/2016 17:11
38.93,39,27508.41,162.08,0,1,Intuitive exuding service-desk,Millerchester,Liberia,3/11/2016 6:49
84.98,29,57691.95,202.61,0,0,Innovative user-facing extranet,Mackenziemouth,Russian Federation,4/27/2016 9:27
64.24,30,59784.18,252.36,0,0,Front-line intermediate database,Zacharystad,Tunisia,4/16/2016 11:53
82.52,32,66572.39,198.11,1,0,Persevering exuding system engine,North Joshua,Turkmenistan,5/8/2016 15:38
81.38,31,64929.61,212.3,0,0,Balanced dynamic application,Bowenview,Saint Helena,2/8/2016 0:23
80.47,25,57519.64,204.86,0,0,Reduced global support,Jamesberg,Niger,2/11/2016 13:26
37.68,52,53575.48,172.83,1,1,Organic leadingedge secured line,Lake Cassandraport,Turkmenistan,2/17/2016 13:16
69.62,20,50983.75,202.25,1,0,Business-focused encompassing neural-net,New Sharon,Qatar,2/26/2016 22:46
85.4,43,67058.72,198.72,0,0,Triple-buffered demand-driven alliance,Johnport,Sri Lanka,6/8/2016 18:54
44.33,37,52723.34,123.72,1,1,Visionary maximized process improvement,Hamiltonfort,Trinidad and Tobago,1/8/2016 9:32
48.01,46,54286.1,119.93,0,1,Centralized 24/7 installation,West Christopher,Italy,4/25/2016 11:01
73.18,23,61526.25,196.71,1,0,Organized static focus group,Hollandberg,British Virgin Islands,4/4/2016 7:07
79.94,28,58526.04,225.29,0,0,Visionary reciprocal circuit,Odomville,United Kingdom,5/3/2016 21:19
33.33,45,53350.11,193.58,1,1,Pre-emptive value-added workforce,East Samanthashire,Guinea-Bissau,1/17/2016 9:31
50.33,50,62657.53,133.2,1,1,Sharable analyzing alliance,South Lauraton,Micronesia,3/2/2016 4:57
62.31,47,62722.57,119.3,0,1,Team-oriented encompassing portal,Amandahaven,Turkey,2/14/2016 7:36
80.6,31,67479.62,177.55,0,0,Sharable bottom-line solution,Thomasview,Croatia,4/7/2016 3:56
65.19,36,75254.88,150.61,0,1,Cross-group regional website,Garciaside,Israel,2/17/2016 11:42
44.98,49,52336.64,129.31,0,1,Organized global model,Port Sarahshire,Svalbard & Jan Mayen Islands,4/10/2016 0:13
77.63,29,56113.37,239.22,0,0,Upgradable asynchronous circuit,Port Gregory,Azerbaijan,2/14/2016 17:05
41.82,41,24852.9,156.36,0,1,Phased transitional instruction set,Brendachester,Iran,5/26/2016 22:49
85.61,27,47708.42,183.43,0,0,Customer-focused empowering ability,Lake Amy,Burundi,4/30/2016 8:07
85.84,34,64654.66,192.93,1,0,Front-line heuristic data-warehouse,Lake Annashire,Saint Vincent and the Grenadines,6/15/2016 5:30
72.08,29,71228.44,169.5,0,0,Stand-alone national attitude,Smithburgh,Burundi,3/9/2016 14:45
86.06,32,61601.05,178.92,1,0,Focused upward-trending core,North Leonmouth,Bulgaria,3/31/2016 20:55
45.96,45,66281.46,141.22,0,1,Streamlined cohesive conglomeration,Robertfurt,Christmas Island,6/3/2016 0:55
62.42,29,73910.9,198.5,1,0,Upgradable optimizing toolset,Jasminefort,Canada,3/10/2016 23:36
63.89,40,51317.33,105.22,0,1,Synchronized user-facing core,Jensenborough,Rwanda,1/8/2016 0:17
35.33,32,51510.18,200.22,0,1,Organized client-driven alliance,Bradleyburgh,Turks and Caicos Islands,6/5/2016 22:11
75.74,25,61005.87,215.25,1,0,Ergonomic multi-state structure,New Sheila,Tunisia,1/16/2016 11:35
78.53,34,32536.98,131.72,0,1,Synergized multimedia emulation,North Regina,Norfolk Island,4/22/2016 20:10
46.13,31,60248.97,139.01,0,1,Customer-focused optimizing moderator,Davidmouth,Bouvet Island (Bouvetoya),2/1/2016 9:00
69.01,46,74543.81,222.63,0,0,Advanced full-range migration,New Michaeltown,Turks and Caicos Islands,7/7/2016 13:37
55.35,39,75509.61,153.17,1,1,De-engineered object-oriented protocol,East Tammie,Cook Islands,3/8/2016 0:37
33.21,43,42650.32,167.07,1,1,Polarized clear-thinking budgetary management,Wilcoxport,Turkey,5/10/2016 17:39
38.46,42,58183.04,145.98,1,1,Customizable 6thgeneration knowledge user,East Michaelmouth,Guatemala,4/6/2016 11:24
64.1,22,60465.72,215.93,0,0,Seamless object-oriented structure,East Tiffanyport,Cote d'Ivoire,4/1/2016 16:21
49.81,35,57009.76,120.06,1,1,Seamless real-time array,Ramirezhaven,Faroe Islands,1/5/2016 4:18
82.73,33,54541.56,238.99,1,0,Grass-roots impactful system engine,Cranemouth,Qatar,5/20/2016 21:31
56.14,38,32689.04,113.53,1,1,Devolved tangible approach,Lake Edward,Ireland,2/3/2016 7:59
55.13,45,55605.92,111.71,0,1,Customizable executive software,Lake Conniefurt,Ukraine,2/17/2016 21:55
78.11,27,63296.87,209.25,1,0,Progressive analyzing attitude,East Shawnchester,Moldova,1/30/2016 16:10
73.46,28,65653.47,222.75,1,0,Innovative executive encoding,West Joseph,Nicaragua,5/15/2016 14:41
56.64,38,61652.53,115.91,0,1,Down-sized uniform info-mediaries,Lake Christopherfurt,Montserrat,1/5/2016 17:56
68.94,54,30726.26,138.71,0,1,Streamlined next generation implementation,East Tylershire,Timor-Leste,4/19/2016 7:34
70.79,31,74535.94,184.1,0,0,Distributed tertiary system engine,Sharpberg,Bouvet Island (Bouvetoya),3/15/2016 15:49
57.76,41,47861.93,105.15,0,1,Triple-buffered scalable groupware,Lake Dustin,Puerto Rico,6/12/2016 15:25
77.51,36,73600.28,200.55,0,0,Total 5thgeneration encoding,North Kristine,Central African Republic,7/1/2016 4:41
52.7,34,58543.94,118.6,1,1,Integrated human-resource encoding,Grahamberg,Venezuela,5/8/2016 12:12
57.7,34,42696.67,109.07,0,1,Phased dynamic customer loyalty,New Tina,Australia,3/14/2016 23:13
56.89,37,37334.78,109.29,1,1,Open-source coherent policy,Nelsonfurt,Wallis and Futuna,5/25/2016 0:19
69.9,43,71392.53,138.35,0,1,Down-sized modular intranet,Christopherport,Jersey,5/13/2016 11:51
55.79,24,59550.05,149.67,0,1,Pre-emptive content-based focus group,Port Sarahhaven,Puerto Rico,2/20/2016 20:47
70.03,26,64264.25,227.72,1,0,Versatile 4thgeneration system engine,Bradleyborough,Samoa,5/22/2016 20:49
50.08,40,64147.86,125.85,1,1,Ergonomic full-range time-frame,Whiteport,Greece,4/10/2016 2:02
43.67,31,25686.34,166.29,1,1,Automated directional function,New Theresa,Antarctica (the territory South of 60 deg S),2/28/2016 6:41
72.84,26,52968.22,238.63,0,0,Progressive empowering alliance,Wongland,Albania,7/8/2016 21:18
45.72,36,22473.08,154.02,1,1,Versatile homogeneous capacity,Williammouth,Hong Kong,4/19/2016 15:14
39.94,41,64927.19,156.3,0,1,Function-based optimizing protocol,Williamsborough,Lithuania,1/8/2016 22:47
35.61,46,51868.85,158.22,0,1,Up-sized secondary software,North Michael,Egypt,3/28/2016 8:46
79.71,34,69456.83,211.65,1,0,Seamless holistic time-frame,Benjaminchester,Bangladesh,7/2/2016 14:57
41.49,53,31947.65,169.18,0,1,Persevering reciprocal firmware,Hernandezville,Western Sahara,7/3/2016 9:22
63.6,23,51864.77,235.28,1,0,Centralized logistical secured line,Youngburgh,Serbia,6/1/2016 9:27
89.91,40,59593.56,194.23,0,0,Innovative background conglomeration,Wallacechester,Maldives,7/9/2016 14:55
68.18,21,48376.14,218.17,1,0,Switchable 3rdgeneration hub,Sanchezmouth,Czech Republic,2/9/2016 22:04
66.49,20,56884.74,202.16,0,0,Polarized 6thgeneration info-mediaries,Bradshawborough,Guernsey,6/10/2016 11:31
80.49,40,67186.54,229.12,1,0,Balanced heuristic approach,Amyhaven,Tanzania,2/14/2016 3:50
72.23,25,46557.92,241.03,1,0,Focused 24hour implementation,Marcushaven,Bhutan,7/5/2016 17:17
42.39,42,66541.05,150.99,0,1,De-engineered mobile infrastructure,Erinton,Christmas Island,4/28/2016 5:50
47.53,30,33258.09,135.18,0,1,Customer-focused upward-trending contingency,Hughesport,Guinea,4/3/2016 5:10
74.02,32,72272.9,210.54,0,0,Operative system-worthy protocol,Johnstad,Micronesia,3/9/2016 14:57
66.63,60,60333.38,176.98,0,1,User-friendly upward-trending intranet,New Lucasburgh,Madagascar,1/16/2016 23:37
63.24,53,65229.13,235.78,1,1,Future-proofed holistic superstructure,Michelleside,Lebanon,7/3/2016 4:33
71,22,56067.38,211.87,0,0,Extended systemic policy,Andersonton,Eritrea,3/14/2016 6:46
46.13,46,37838.72,123.64,1,1,Horizontal hybrid challenge,New Rachel,Guyana,1/9/2016 5:44
69,32,72683.35,221.21,1,0,Virtual composite model,Port Susan,Trinidad and Tobago,2/11/2016 4:37
76.99,31,56729.78,244.34,1,0,Switchable mobile framework,West Angelabury,Jersey,6/22/2016 7:33
72.6,55,66815.54,162.95,0,1,Focused intangible moderator,Port Christopherborough,United Arab Emirates,7/13/2016 16:12
61.88,42,60223.52,112.19,1,1,Balanced actuating moderator,Phillipsbury,Martinique,7/23/2016 11:46
84.45,50,29727.79,207.18,0,1,Customer-focused transitional strategy,Millerside,Somalia,7/13/2016 4:10
88.97,45,49269.98,152.49,0,1,Advanced web-enabled standardization,Lake Jessica,Bhutan,6/11/2016 18:32
86.19,31,57669.41,210.26,1,0,Pre-emptive executive knowledgebase,Lopezmouth,Greece,5/8/2016 12:51
49.58,26,56791.75,231.94,0,0,Self-enabling holistic process improvement,Johnsport,Benin,4/7/2016 16:02
77.65,27,63274.88,212.79,0,0,Horizontal client-driven hierarchy,South Ronald,Papua New Guinea,2/4/2016 13:30
37.75,36,35466.8,225.24,0,1,Polarized dynamic throughput,South Daniel,Uzbekistan,2/26/2016 19:48
62.33,43,68787.09,127.11,0,1,Devolved zero administration intranet,Suzannetown,South Africa,6/21/2016 13:15
79.57,31,61227.59,230.93,0,0,User-friendly asymmetric info-mediaries,Lisaberg,Egypt,5/17/2016 4:27
80.31,44,56366.88,127.07,0,1,Cross-platform regional task-force,Brianfurt,Hungary,4/18/2016 15:54
89.05,45,57868.44,206.98,0,0,Polarized bandwidth-monitored moratorium,Stewartbury,Falkland Islands (Malvinas),4/3/2016 10:07
70.41,27,66618.21,223.03,0,0,Centralized systematic knowledgebase,Benjaminchester,Dominica,4/4/2016 21:30
67.36,37,73104.47,233.56,0,0,Future-proofed grid-enabled implementation,North Wesleychester,Jersey,7/6/2016 16:00
46.98,50,21644.91,175.37,0,1,Down-sized well-modulated archive,East Michelleberg,Lithuania,5/4/2016 9:00
41.67,36,53817.02,132.55,0,1,Realigned zero tolerance emulation,Port Eric,Saint Martin,6/13/2016 18:50
51.24,36,76368.31,176.73,0,1,Versatile transitional monitoring,Timothyfurt,Cuba,1/3/2016 16:01
75.7,29,67633.44,215.44,0,0,Profound zero administration instruction set,Port Jeffrey,United States Minor Outlying Islands,1/14/2016 0:23
43.49,47,50335.46,127.83,0,1,User-centric intangible task-force,Guzmanland,Belize,1/12/2016 10:07
49.89,39,17709.98,160.03,1,1,Enhanced system-worthy application,East Michele,Belize,4/16/2016 12:09
38.37,36,41229.16,140.46,0,1,Multi-layered user-facing paradigm,East John,Antarctica (the territory South of 60 deg S),5/13/2016 6:09
38.52,38,42581.23,137.28,1,1,Customer-focused 24/7 concept,Lesliebury,Saint Vincent and the Grenadines,3/27/2016 23:59
71.89,23,61617.98,172.81,1,0,Function-based transitional complexity,Patriciahaven,Kuwait,2/3/2016 23:47
75.8,38,70575.6,146.19,1,0,Progressive clear-thinking open architecture,Ashleychester,Thailand,4/18/2016 11:23
83.86,31,64122.36,190.25,0,0,Up-sized executive moderator,Lake Josetown,Gibraltar,2/5/2016 19:06
37.51,30,52097.32,163,1,1,Re-contextualized optimal service-desk,Debraburgh,Holy See (Vatican City State),3/21/2016 18:46
55.6,44,65953.76,124.38,1,1,Fully-configurable neutral open system,New Debbiestad,Korea,6/14/2016 11:59
83.67,44,60192.72,234.26,1,0,Upgradable system-worthy array,West Shaun,Saint Helena,2/6/2016 23:08
69.08,41,77460.07,210.6,0,0,Ergonomic client-driven application,Kimberlyhaven,Turks and Caicos Islands,3/12/2016 1:39
37.47,44,45716.48,141.89,1,1,Realigned content-based leverage,Port Lawrence,Czech Republic,1/26/2016 3:56
56.04,49,65120.86,128.95,1,1,Decentralized real-time circuit,West Ricardo,Netherlands,2/7/2016 8:02
70.92,41,49995.63,108.16,1,1,Polarized modular function,Lake Jose,Belarus,5/5/2016 7:58
49.78,46,71718.51,152.24,0,1,Enterprise-wide client-driven contingency,Heatherberg,Dominica,6/29/2016 2:43
68.61,57,61770.34,150.29,0,1,Diverse modular interface,South George,South Africa,4/10/2016 19:48
58.18,25,69112.84,176.28,1,0,Polarized analyzing concept,Tinachester,New Zealand,2/10/2016 6:37
78.54,35,72524.86,172.1,0,0,Multi-channeled asynchronous open system,Port Jodi,Togo,5/28/2016 20:41
37,48,36782.38,158.22,1,1,Function-based context-sensitive secured line,Jonathantown,Kenya,3/24/2016 6:36
65.4,33,66699.12,247.31,0,0,Adaptive 24hour Graphic Interface,Sylviaview,Palau,2/12/2016 22:51
79.52,27,64287.78,183.48,1,0,Automated coherent flexibility,East Timothyport,Timor-Leste,6/10/2016 10:11
87.98,38,56637.59,222.11,1,0,Focused scalable complexity,West Roytown,Cambodia,3/31/2016 10:44
44.64,36,55787.58,127.01,0,1,Up-sized incremental encryption,Codyburgh,Belize,2/14/2016 6:51
41.73,28,61142.33,202.18,1,1,Sharable dedicated Graphic Interface,Port Erikhaven,Cuba,1/7/2016 19:16
80.46,27,61625.87,207.96,1,0,Digitized zero administration paradigm,Port Chasemouth,Costa Rica,2/4/2016 2:13
75.55,36,73234.87,159.24,0,1,Managed grid-enabled standardization,Ramirezside,Liechtenstein,5/9/2016 2:58
76.32,35,74166.24,195.31,1,0,Networked foreground definition,East Michaeltown,Korea,6/23/2016 0:16
82.68,33,62669.59,222.77,1,0,Re-engineered exuding frame,West Courtney,Ukraine,6/20/2016 9:35
72.01,31,57756.89,251,0,0,Horizontal multi-state interface,West Michaelhaven,Angola,2/29/2016 12:31
75.83,24,58019.64,162.44,0,0,Diverse stable circuit,Walshhaven,Nauru,1/17/2016 15:10
41.28,50,50960.08,140.39,0,1,Universal 24/7 implementation,East Rachelview,Equatorial Guinea,1/29/2016 3:54
34.66,32,48246.6,194.83,0,1,Customer-focused multi-tasking Internet solution,Curtisport,Mongolia,7/14/2016 12:07
66.18,55,28271.84,143.42,0,1,Vision-oriented contextually-based extranet,Frankbury,Svalbard & Jan Mayen Islands,1/10/2016 23:14
86.06,31,53767.12,219.72,1,0,Extended local methodology,Timothytown,Timor-Leste,4/28/2016 18:34
59.59,42,43662.1,104.78,1,1,Re-engineered demand-driven capacity,Samanthaland,Brazil,7/6/2016 18:36
86.69,34,62238.58,198.56,0,0,Customer-focused attitude-oriented instruction set,South Jennifer,Chad,5/27/2016 6:19
43.77,52,49030.03,138.55,1,1,Synergized hybrid time-frame,Kyleborough,Portugal,1/25/2016 7:39
71.84,47,76003.47,199.79,1,0,Advanced exuding conglomeration,North Randy,Malawi,5/8/2016 22:47
80.23,31,68094.85,196.23,0,0,Secured clear-thinking middleware,South Daniellefort,Qatar,3/19/2016 14:23
74.41,26,64395.85,163.05,0,0,Right-sized value-added initiative,Dianashire,Singapore,7/23/2016 4:37
63.36,48,70053.27,137.43,0,1,Centralized tertiary pricing structure,East Eric,Guinea,6/23/2016 1:22
71.74,35,72423.97,227.56,0,0,Multi-channeled reciprocal artificial intelligence,Hammondport,Kazakhstan,7/19/2016 18:06
60.72,44,42995.8,105.69,0,1,Synergized context-sensitive database,Jacobstad,Kuwait,2/28/2016 18:52
72.04,22,60309.58,199.43,0,0,Realigned systematic function,Hernandezfort,Rwanda,2/10/2016 6:52
44.57,31,38349.78,133.17,1,1,Adaptive context-sensitive application,Joneston,China,3/27/2016 9:11
85.86,34,63115.34,208.23,0,0,Networked high-level structure,New Jeffreychester,Bouvet Island (Bouvetoya),5/23/2016 2:15
39.85,38,31343.39,145.96,0,1,Profit-focused dedicated utilization,East Stephen,Vietnam,1/3/2016 3:22
84.53,27,40763.13,168.34,0,1,Stand-alone tangible moderator,Turnerchester,Guatemala,1/4/2016 21:48
62.95,60,36752.24,157.04,0,1,Polarized tangible collaboration,Youngfort,Peru,5/24/2016 13:30
67.58,41,65044.59,255.61,1,0,Focused high-level conglomeration,Ingramberg,Mayotte,2/1/2016 19:42
85.56,29,53673.08,210.46,0,0,Advanced modular Local Area Network,South Denisefurt,Samoa,6/5/2016 13:16
46.88,54,43444.86,136.64,0,1,Virtual scalable secured line,Port Melissaberg,Singapore,2/4/2016 8:53
46.31,57,44248.52,153.98,1,1,Front-line fault-tolerant intranet,Bernardton,Jamaica,3/24/2016 13:37
77.95,31,62572.88,233.65,1,0,Inverse asymmetric instruction set,Port Mathew,Bahamas,6/2/2016 21:02
84.73,30,39840.55,153.76,0,1,Synchronized leadingedge help-desk,Aliciatown,Canada,2/21/2016 7:42
39.86,36,32593.59,145.85,0,1,Total 5thgeneration standardization,Josephstad,Algeria,6/26/2016 17:16
50.08,30,41629.86,123.91,0,1,Sharable grid-enabled matrix,West Ericfurt,Fiji,1/3/2016 5:34
60.23,35,43313.73,106.86,0,1,Balanced asynchronous hierarchy,New Brendafurt,Kenya,3/8/2016 18:00
60.7,49,42993.48,110.57,1,1,Monitored object-oriented Graphic Interface,Port Julie,Argentina,6/19/2016 3:19
43.67,53,46004.31,143.79,1,1,Cloned analyzing artificial intelligence,South Tiffanyton,Bouvet Island (Bouvetoya),7/21/2016 21:16
77.2,33,49325.48,254.05,1,0,Persistent homogeneous framework,North Elizabeth,Philippines,2/12/2016 20:36
71.86,32,51633.34,116.53,0,1,Face-to-face even-keeled website,Kentmouth,Senegal,5/17/2016 6:14
44.78,45,63363.04,137.24,1,1,Extended context-sensitive monitoring,West Casey,Suriname,7/9/2016 11:04
78.57,36,64045.93,239.32,1,0,Exclusive client-driven model,East Henry,Liberia,3/27/2016 2:35
73.41,31,73049.3,201.26,1,0,Profound executive flexibility,Hollyfurt,Guam,1/16/2016 8:01
77.05,27,66624.6,191.14,0,0,Reduced bi-directional strategy,North Anna,United Arab Emirates,1/21/2016 23:48
66.4,40,77567.85,214.42,0,0,Digitized heuristic solution,Port Destiny,Antigua and Barbuda,6/5/2016 0:29
69.35,29,53431.35,252.77,1,0,Seamless 4thgeneration contingency,Ianmouth,Argentina,2/13/2016 15:37
35.65,40,31265.75,172.58,1,1,Seamless intangible secured line,North Johntown,Georgia,5/10/2016 7:22
70.04,31,74780.74,183.85,1,0,Intuitive radical forecast,Hannahside,Jordan,3/27/2016 3:59
69.78,29,70410.11,218.79,0,0,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Saudi Arabia,5/24/2016 18:35
58.22,29,37345.24,120.9,0,1,User-friendly client-server instruction set,North Russellborough,South Africa,2/11/2016 2:40
76.9,28,66107.84,212.67,0,0,Synchronized multimedia model,Murphymouth,Croatia,4/22/2016 8:31
84.08,30,62336.39,187.36,1,0,Face-to-face intermediate approach,Carterburgh,Fiji,1/13/2016 2:58
59.51,58,39132.64,140.83,0,1,Assimilated fault-tolerant hub,Penatown,Australia,6/16/2016 2:01
40.15,38,38745.29,134.88,1,1,Exclusive disintermediate task-force,Joechester,Sao Tome and Principe,6/27/2016 18:37
76.81,28,65172.22,217.85,1,0,Managed zero tolerance concept,East Paul,Fiji,7/3/2016 12:57
41.89,38,68519.96,163.38,0,1,Compatible systemic function,Hartmanchester,Cyprus,2/3/2016 4:21
76.87,27,54774.77,235.35,1,0,Configurable fault-tolerant monitoring,Mcdonaldfort,Kyrgyz Republic,5/29/2016 21:17
67.28,43,76246.96,155.8,1,1,Future-proofed coherent hardware,North Mercedes,Pakistan,4/3/2016 21:13
81.98,40,65461.92,229.22,0,0,Ameliorated upward-trending definition,Taylorberg,Seychelles,4/15/2016 11:51
66.01,23,34127.21,151.95,0,1,Front-line tangible alliance,Hansenmouth,Samoa,6/21/2016 3:14
61.57,53,35253.98,125.94,1,1,Progressive 24hour forecast,Bradyfurt,Bulgaria,3/14/2016 14:13
53.3,34,44893.71,111.94,0,1,Self-enabling optimal initiative,West Jessicahaven,Mauritania,5/6/2016 21:07
34.87,40,59621.02,200.23,0,1,Configurable logistical Graphical User Interface,Davilachester,Czech Republic,6/12/2016 17:52
43.6,38,20856.54,170.49,0,1,Virtual bandwidth-monitored initiative,North Ricardotown,Chile,1/11/2016 7:36
77.88,37,55353.41,254.57,0,0,Multi-tiered human-resource structure,Melissafurt,Poland,7/2/2016 0:24
75.83,27,67516.07,200.59,0,0,Managed upward-trending instruction set,East Brianberg,Estonia,3/4/2016 10:13
49.95,39,68737.75,136.59,0,1,Cloned object-oriented benchmark,Millerbury,Turkmenistan,3/24/2016 9:12
60.94,41,76893.84,154.97,0,1,Fundamental fault-tolerant neural-net,Garciaview,Latvia,2/14/2016 7:30
89.15,42,59886.58,171.07,0,0,Phased zero administration success,Townsendfurt,Fiji,4/25/2016 7:30
78.7,30,53441.69,133.99,0,1,Compatible intangible customer loyalty,Williamstad,Turkey,2/10/2016 19:20
57.35,29,41356.31,119.84,0,1,Distributed 3rdgeneration definition,West Connor,Kazakhstan,4/23/2016 14:34
34.86,38,49942.66,154.75,0,1,Pre-emptive cohesive budgetary management,West Justin,Bahrain,6/18/2016 17:56
70.68,31,74430.08,199.08,0,0,Configurable multi-state utilization,Robertbury,Colombia,7/17/2016 1:58
76.06,23,58633.63,201.04,0,0,Diverse multi-tasking parallelism,New Tinamouth,Brunei Darussalam,4/27/2016 4:28
66.67,33,72707.87,228.03,1,0,Horizontal content-based synergy,Turnerview,Taiwan,4/21/2016 20:29
46.77,32,31092.93,136.4,1,1,Multi-tiered maximized archive,Reneechester,Serbia,3/23/2016 6:00
62.42,38,74445.18,143.94,0,1,Diverse executive groupware,West Tinashire,Saint Pierre and Miquelon,7/19/2016 7:59
78.32,28,49309.14,239.52,0,1,Synergized cohesive array,Jamesfurt,Australia,6/26/2016 11:52
37.32,50,56735.14,199.25,1,1,Versatile dedicated software,New Nancy,Chad,3/30/2016 23:40
40.42,45,40183.75,133.9,1,1,Stand-alone reciprocal synergy,Lisamouth,Norway,3/16/2016 7:59
76.77,36,58348.41,123.51,0,1,Universal even-keeled analyzer,Harveyport,Turks and Caicos Islands,5/4/2016 0:01
65.65,30,72209.99,158.05,0,0,Up-sized tertiary contingency,Ramosstad,Finland,7/2/2016 21:22
74.32,33,62060.11,128.17,0,1,Monitored real-time superstructure,North Kevinside,South Africa,5/23/2016 21:14
73.27,32,67113.46,234.75,1,0,Streamlined analyzing initiative,Haleview,Martinique,1/29/2016 20:16
80.03,44,24030.06,150.84,0,1,Automated static concept,Christinetown,Afghanistan,7/23/2016 14:47
53.68,47,56180.93,115.26,1,1,Operative stable moderator,New Michael,Micronesia,2/16/2016 9:11
85.84,32,62204.93,192.85,1,0,Up-sized 6thgeneration moratorium,Jonesland,French Southern Territories,6/9/2016 21:43
85.03,30,60372.64,204.52,0,0,Expanded clear-thinking core,North Shannon,Philippines,6/19/2016 9:24
70.44,24,65280.16,178.75,1,0,Polarized attitude-oriented superstructure,New Sonialand,Algeria,6/6/2016 21:26
81.22,53,34309.24,223.09,1,0,Networked coherent interface,Port Jason,San Marino,1/7/2016 13:25
39.96,45,59610.81,146.13,1,1,Enhanced homogeneous moderator,East Barbara,Guernsey,4/15/2016 6:08
